  abbreviation         n.节略，缩写，缩短
   abide                vt.遵守 vt.忍受
   abolish              vt.废除，取消
   absent               a.不在意的
   absorption           n.吸收；专注
   abstract             a.理论上的 n.抽象
   absurd               a.不合理的，荒唐的
   abundance            n.丰富，充裕
   accessory            n.同谋 a.附属的
   accord               n.调和，符合；协议
   acknowledge          vt.承认；告知收到
   acquaint             vt.使认识，使了解
   action               n.作用；情节
   adhere               vi.粘附；追随；坚持
   adjacent             a.毗连的；紧接着的
   adjoin               vt.贴近，毗连；靠近
   adjustable           a.可调整的，可校准的
   administration       n.局(或署、处等)
   admiration           n.钦佩；赞美，羡慕
   adoption             n.收养；采纳，采取
   adore                vt.崇拜；很喜欢
   advantageous         a.有利的，有助的
   advertise            vt.通知 vi.登广告
   advocate             n.辩护者 vt.拥护
   aerial               a.空气的；航空的
   aerospace            n.航空和宇宙航行空间
   affirm               vt.断言，批准；证实
   agitation            n.鼓动，煸动；搅动
   agreeable            a.惬意的；同意的
   alas                 int.唉，哎呀
   album                n.粘贴簿；相册；文选
   alert                a.警惕的；活跃的
   algebra              n.代数学
   alien                a.外国的 n.外国人
   alignment            n.队列；结盟，联合
   allied               a.联合的；联姻的
   allowance            n津贴，补助费
   alongside            prep.在…旁边
   ally                 n.盟国，同盟者，伙伴
   alteration           n.变更，改变；蚀变
   alternate            vt.使交替 a.交替的
   amateur              a.业余的n.业余爱好者
